update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
800,84,0,4066,48.404762,0.000000,30.000000,-1,40.264879,40.264879,-1,2,0,294,3,0,171,111,0,32,8.936151,6.936865,6.936865,1.000000,0.910140,-1,-1,-1,-1,-1,0.143310
810,87,0,3744,43.034483,0.000000,30.000000,-1,40.290865,40.290865,-1,6,0,427,3,0,167,104,0,65,8.974100,5.910958,5.910958,1.000000,0.859191,-1,-1,-1,-1,-1,0.137354
820,85,0,3791,44.600000,0.000000,30.000000,-1,40.321551,40.321551,-1,7,0,271,5,0,134,126,0,103,8.502118,6.360627,6.360627,1.000000,0.854779,-1,-1,-1,-1,-1,0.142615
830,82,0,3754,45.780488,0.000000,30.000000,-1,40.299947,40.299947,-1,3,0,329,7,0,144,76,0,35,8.903659,6.258943,6.258943,1.000000,0.890383,-1,-1,-1,-1,-1,0.136716
840,82,0,3587,43.743902,0.000000,30.000000,-1,40.346808,40.346808,-1,5,0,333,7,0,146,120,0,73,8.974512,6.147439,6.147439,1.000000,0.858440,-1,-1,-1,-1,-1,0.140532
850,82,0,3789,46.207317,0.000000,30.000000,-1,40.352864,40.352864,-1,2,0,317,4,0,129,137,0,27,8.582520,6.173577,6.173577,1.000000,0.896016,-1,-1,-1,-1,-1,0.133606
860,86,0,4104,47.720930,0.000000,30.000000,-1,40.358674,40.358674,-1,2,0,310,3,0,151,155,0,18,9.208508,6.779864,6.779864,1.000000,0.903015,-1,-1,-1,-1,-1,0.142073
870,92,0,4096,44.521739,0.000000,30.000000,-1,40.366943,40.366943,-1,5,0,341,3,0,168,219,0,68,8.757772,6.133533,6.133533,1.000000,0.870267,-1,-1,-1,-1,-1,0.137765
880,97,0,4430,45.670103,0.000000,30.000000,-1,40.379910,40.379910,-1,6,0,394,2,0,167,232,0,96,9.111512,6.386770,6.386770,1.000000,0.868485,-1,-1,-1,-1,-1,0.139846
890,100,0,4551,45.510000,0.000000,30.000000,-1,40.423423,40.423423,-1,3,0,527,5,0,188,285,0,32,8.242417,5.390917,5.390917,1.000000,0.885513,-1,-1,-1,-1,-1,0.118456
900,89,0,4246,47.707865,0.000000,30.000000,-1,40.465850,40.465850,-1,2,0,314,5,0,150,220,0,27,8.721517,6.559382,6.559382,1.000000,0.907493,-1,-1,-1,-1,-1,0.137491
910,88,0,4207,47.806818,0.000000,30.000000,-1,40.476824,40.476824,-1,1,0,273,2,0,171,187,0,18,8.803977,6.499053,6.499053,1.000000,0.909885,-1,-1,-1,-1,-1,0.135944
920,94,0,4191,44.585106,0.000000,30.000000,-1,40.468623,40.468623,-1,5,0,500,4,0,152,258,0,60,8.785319,5.789149,5.789149,1.000000,0.859030,-1,-1,-1,-1,-1,0.129845
930,89,0,3875,43.539326,0.000000,30.000000,-1,40.401290,40.401290,-1,8,0,417,6,0,157,142,0,105,8.154045,5.516367,5.516367,1.000000,0.833992,-1,-1,-1,-1,-1,0.126698
940,82,0,3847,46.914634,0.000000,30.000000,-1,40.369639,40.369639,-1,3,0,325,3,0,129,51,0,36,8.632154,6.205244,6.205244,1.000000,0.887603,-1,-1,-1,-1,-1,0.132267
950,84,0,3841,45.726190,0.000000,30.000000,-1,40.353814,40.353814,-1,5,0,309,5,0,133,121,0,44,8.410873,6.172460,6.172460,1.000000,0.868288,-1,-1,-1,-1,-1,0.134987
960,90,0,4092,45.466667,0.000000,30.000000,-1,40.344819,40.344819,-1,6,0,434,4,0,165,202,0,84,8.329704,5.818444,5.818444,1.000000,0.853918,-1,-1,-1,-1,-1,0.127972
970,84,0,4006,47.690476,0.000000,30.000000,-1,40.337993,40.337993,-1,3,0,326,6,0,147,177,0,41,8.940933,6.832877,6.832877,1.000000,0.898210,-1,-1,-1,-1,-1,0.143276
980,100,0,4491,44.910000,0.000000,30.000000,-1,40.316633,40.316633,-1,6,0,407,1,0,171,191,0,72,8.294067,5.989267,5.989267,1.000000,0.857232,-1,-1,-1,-1,-1,0.133362
990,93,0,4301,46.247312,0.000000,30.000000,-1,40.302720,40.302720,-1,2,0,395,7,0,160,201,0,20,8.421043,5.847774,5.847774,1.000000,0.889074,-1,-1,-1,-1,-1,0.126446
1000,96,0,4195,43.697917,0.000000,30.000000,-1,40.284148,40.284148,-1,6,0,436,4,0,172,212,0,82,7.945451,5.179549,5.179549,1.000000,0.847531,-1,-1,-1,-1,-1,0.118531
1010,83,0,3995,48.132530,0.000000,30.000000,-1,40.307384,40.307384,-1,2,0,353,2,0,159,189,0,30,8.433173,6.145141,6.145141,1.000000,0.893705,-1,-1,-1,-1,-1,0.127671
1020,82,0,3732,45.512195,0.000000,30.000000,-1,40.399250,40.399250,-1,5,0,273,6,0,129,129,0,63,8.445447,6.229350,6.229350,1.000000,0.865755,-1,-1,-1,-1,-1,0.136872
